title,scorr,genre,running time,actors
The Salt of the Earth (2014),83,Documentary/Biography,110 min,Sebastião Salgado/Wim Wenders/Lélia Wanick Salgado/Juliano Ribeiro Salgado
The Riot Club (2014),54,Drama/Thriller,107 min,Sam Claflin/Max Irons/Douglas Booth/Jessica Brown Findlay
Fehér isten (2014),80,Drama/Horror,121 min,Zsófia Psotta/Sándor Zsótér/Lili Horváth/Szabolcs Thuróczy
Man from Reno (2014),69,Crime/Drama/Mystery/Thriller,111 min,Ayako Fujitani/Pepe Serna/Kazuki Kitamura/Yasuyo Shiba
Cupcakes (2013),64,Comedy/Music,92 min,Dana Ivgy/Keren Berger/Yael Bar-Zohar/Efrat Dor
A Girl Like Her (2015),54,Drama,91 min,Lexi Ainsworth/Hunter King/Jimmy Bennett/Amy S. Weber
Furious Seven (2015),67,Action/Crime/Thriller,137 min,Vin Diesel/Paul Walker/Dwayne Johnson/Jason Statham
Woman in Gold (2015),51,Biography/Drama/History,109 min,Helen Mirren/Ryan Reynolds/Daniel Brühl/Katie Holmes
5 to 7 (2014),52,Comedy/Drama/Romance,95 min,Anton Yelchin/Bérénice Marlohe/Olivia Thirlby/Lambert Wilson
Lambert & Stamp (2014),75,Documentary/Biography/History/Music,117 min,Kit Lambert/Roger Daltrey/Pete Townshend/Richard Barnes
Effie Gray (2014),54,Drama,104 min,Dakota Fanning/Greg Wise/Tom Sturridge/Emma Thompson
The Longest Ride (2015),33,Drama/Romance,128 min,Scott Eastwood/Britt Robertson/Alan Alda/Jack Huston
Ex Machina (2015),78,Drama/Mystery/Sci-Fi,108 min,Alicia Vikander/Domhnall Gleeson/Oscar Isaac/Sonoya Mizuno
Desert Dancer (2014),49,Biography/Drama,98 min,Nazanin Boniadi/Freida Pinto/Tom Cullen/Reece Ritchie
Clouds of Sils Maria (2014),78,Drama,124 min,Juliette Binoche/Kristen Stewart/Chloë Grace Moretz/Lars Eidinger
Kill Me Three Times (2014),30,Action/Comedy/Thriller,90 min,Simon Pegg/Teresa Palmer/Alice Braga/Luke Hemsworth
Lost River (2014),42,Drama/Fantasy/Mystery/Thriller,95 min,Christina Hendricks/Iain De Caestecker/Matt Smith/Saoirse Ronan
While We're Young (2014),77,Comedy/Drama,97 min,Ben Stiller/Naomi Watts/Adam Driver/Amanda Seyfried
Danny Collins (2015),58,Comedy/Drama/Music,106 min,Al Pacino/Annette Bening/Jennifer Garner/Bobby Cannavale
Paul Blart: Mall Cop 2 (2015),13,Action/Comedy/Crime,94 min,Kevin James/Raini Rodriguez/Eduardo Verástegui/Daniella Alonso
Cybernatural (2014),59,Horror/Mystery/Thriller,83 min,Heather Sossaman/Matthew Bohrer/Courtney Halverson/Shelley Hennig
Child 44 (2015),41,Crime/Thriller,137 min,Tom Hardy/Gary Oldman/Noomi Rapace/Joel Kinnaman
Monkey Kingdom (2015),72,Documentary,81 min,Tina Fey
True Story (2015),50,Crime/Drama/Mystery/Thriller,99 min,James Franco/Jonah Hill/Felicity Jones/Maria Dizzia
Alex of Venice (2014),56,Drama,86 min,Mary Elizabeth Winstead/Chris Messina/Don Johnson/Derek Luke
Beyond the Reach (2014),34,Thriller,91 min,Michael Douglas/Jeremy Irvine/Martin Palmer/Hanna Mangan Lawrence
Félix et Meira (2014),66,Drama/Romance,105 min,Martin Dubreuil/Hadas Yaron/Luzer Twersky/Anne-Élisabeth Bossé
Monsters: Dark Continent (2014),42,Drama/Sci-Fi/Thriller,119 min,Johnny Harris/Sam Keeley/Joe Dempsie/Sofia Boutella
The Dead Lands (2014),59,Action,107 min,James Rolleston/Lawrence Makoare/Te Kohe Tuhaka/Xavier Horan
The Age of Adaline (2015),51,Drama/Fantasy/Romance,112 min,Blake Lively/Michiel Huisman/Harrison Ford/Kathy Baker
Little Boy (2015),30,Comedy/Drama/War,106 min,Jakob Salvati/Emily Watson/David Henrie/Michael Rapaport
Ex Machina (2015),78,Drama/Mystery/Sci-Fi,108 min,Alicia Vikander/Domhnall Gleeson/Oscar Isaac/Sonoya Mizuno
The Water Diviner (2014),50,Drama/War,111 min,Russell Crowe/Olga Kurylenko/Jai Courtney/Isabel Lucas
Adult Beginners (2014),57,Comedy/Drama,92 min,Nick Kroll/Rose Byrne/Bobby Cannavale/Joel McHale
